poi_id,poi_name,original_share,counterfactual_share,share_change,dist_to_removed_m,freq,category
Vivi Bubble Tea|40.690541|-73.991813,Vivi Bubble Tea,0.0012304969476421986,0.001302700106440869,7.220315879867046e-05,486.7822460077573,47,Snack and Nonalcoholic Beverage Bars
Antonio's Pizzeria & Cafe|40.692980|-73.991026,Antonio's Pizzeria & Cafe,0.0015860357054990996,0.001658216901899717,7.218119640061728e-05,269.77699313671724,48,Full-Service Restaurants
Masala Grill|40.685694|-73.981113,Masala Grill,0.000835666388096045,0.0009062190444913838,7.055265639533878e-05,1079.3465893635778,39,Full-Service Restaurants
Nevins Foodmart|40.688220|-73.981515,Nevins Foodmart,0.005527821861321157,0.005595368927127934,6.754706580677696e-05,834.015181179964,65,Limited-Service Restaurants
Brooklyn Heights Deli|40.691376|-73.996095,Brooklyn Heights Deli,0.0005821242657090206,0.000645543775771887,6.34195100628664e-05,732.81431876912,15,Limited-Service Restaurants
Devocion|40.688610|-73.983512,Devocion,0.0011412737072742309,0.0012031243276973713,6.185062042314039e-05,697.2406962630869,53,Snack and Nonalcoholic Beverage Bars
Fresh&co|40.688164|-73.983342,Fresh&co,0.001201653027610123,0.0012631824763301982,6.152944872007526e-05,746.7375485496684,39,Limited-Service Restaurants
Subway|40.691822|-73.991490,Subway,0.0006272138003880933,0.0006864947659852346,5.9280965597141295e-05,368.3199619315085,33,Limited-Service Restaurants
Chipotle Mexican Grill|40.694350|-73.991772,Chipotle Mexican Grill,0.0006948516309049763,0.0007526861781467984,5.783454724182216e-05,319.230873429749,44,Limited-Service Restaurants
Gotham Market at The Ashland|40.688154|-73.978702,Gotham Market at The Ashland,0.005108241328630795,0.00516212708734123,5.38857587104348e-05,1010.9970137881865,46,Limited-Service Restaurants
Pio Bagel|40.692094|-73.986490,Pio Bagel,0.0010215647806433978,0.0010751714652778757,5.3606684634477896e-05,235.6015884179207,61,Snack and Nonalcoholic Beverage Bars
Wetzel's Pretzels|40.684724|-73.977428,Wetzel's Pretzels,0.0004907183760738279,0.0005417078397377312,5.098946366390326e-05,1353.5023744614093,34,Limited-Service Restaurants
Maison Kayser Boulangerie|40.692082|-73.990821,Maison Kayser Boulangerie,0.003439947572421622,0.003490671136712665,5.072356429104306e-05,306.2779906920824,35,Full-Service Restaurants
Coffee Project New York Fort Greene|40.687603|-73.979494,Coffee Project New York Fort Greene,0.0005957672734933298,0.0006463088817122906,5.054160821896074e-05,1001.4274425268974,22,Limited-Service Restaurants
Bedouin Tent|40.687031|-73.984424,Bedouin Tent,0.0005813536221446557,0.0006281361718809077,4.678254973625195e-05,817.9174766814147,25,Limited-Service Restaurants
Paulala Restaurant|40.689167|-73.984021,Paulala Restaurant,0.0004064613075204838,0.0004531292512187513,4.66679436982675e-05,621.918568497165,32,Full-Service Restaurants
Crossroads Cafe|40.692468|-73.989661,Crossroads Cafe,0.003959138871367139,0.00400506927066109,4.5930399293950784e-05,206.038285377067,54,Snack and Nonalcoholic Beverage Bars
CAVA|40.692528|-73.988557,CAVA,0.0007591723591901017,0.0008042449227569755,4.507256356687378e-05,153.91795646669837,50,Limited-Service Restaurants
Juice Press|40.686156|-73.978727,Juice Press,0.0005685222733275123,0.0006134062080729925,4.488393474548014e-05,1161.8518901059754,47,Snack and Nonalcoholic Beverage Bars
Baskin Robbins|40.688004|-73.981882,Baskin Robbins,0.0004903495733696287,0.0005319151886953577,4.156561532572898e-05,832.5652635866185,45,Snack and Nonalcoholic Beverage Bars
Mario Restaurant|40.688194|-73.978847,Mario Restaurant,0.00047076548970653546,0.0005115585060350438,4.079301632850833e-05,998.6939387111095,14,Full-Service Restaurants
Tacombi|40.687141|-73.978025,Tacombi,0.00045731631556180334,0.0004979043012396638,4.058798567786048e-05,1127.2995801089571,30,Limited-Service Restaurants
Domo Taco|40.692331|-73.986064,Domo Taco,0.000365208181344873,0.0004041716923002399,3.8963510955366924e-05,237.83398154844477,46,Full-Service Restaurants
Blimpie|40.692122|-73.988069,Blimpie,0.0007158795735841106,0.0007524381513438704,3.655857775975975e-05,192.82543979237872,49,Limited-Service Restaurants
Govinda's Vegetarian Lunch|40.687646|-73.982164,Govinda's Vegetarian Lunch,0.0005576698731814021,0.0005937282469222142,3.6058373740812115e-05,849.9566331142852,62,Full-Service Restaurants
Fulton Fried Chicken|40.689844|-73.982649,Fulton Fried Chicken,0.000988658380649003,0.001024044738781776,3.5386358132772884e-05,636.9929798605825,34,Full-Service Restaurants
Chipotle Mexican Grill|40.689895|-73.983972,Chipotle Mexican Grill,0.0003231243416349156,0.0003556842761109113,3.25599344759957e-05,558.3359847911415,24,Limited-Service Restaurants
Court Order|40.692266|-73.991281,Court Order,0.0009151545546985128,0.0009462526545193151,3.109809982080236e-05,325.3152616264588,25,Limited-Service Restaurants
Dunkin'|40.691935|-73.987080,Dunkin',0.0005582970015086913,0.000589182729330992,3.088572782230072e-05,228.48514033534508,43,Snack and Nonalcoholic Beverage Bars
Bornholm|40.687096|-73.990336,Bornholm,0.00021825700257898512,0.0002486923929885849,3.0435390409599766e-05,776.162436104596,26,Full-Service Restaurants
Seattle's Best Coffee|40.688739|-73.984008,Seattle's Best Coffee,0.0003921550599976233,0.00042193786872538383,2.9782808727760548e-05,662.8879448220192,43,Snack and Nonalcoholic Beverage Bars
The Paella Shack|40.690774|-73.983050,The Paella Shack,0.0003722840911701,0.0004018578965151795,2.9573805345079493e-05,542.7551372270441,39,Full-Service Restaurants
Momo King|40.691810|-73.986161,Momo King,0.0005785535705398601,0.0006066384770935736,2.8084906553713443e-05,277.3232268634258,38,Full-Service Restaurants
Hard Times Sundaes|40.690416|-73.982970,Hard Times Sundaes,0.0003014988994359382,0.00032799657829733764,2.649767886139944e-05,573.7388320816632,22,Limited-Service Restaurants
honeygrow|40.692508|-73.991390,honeygrow,0.00040778626603675864,0.0004337373617366603,2.595109569990164e-05,319.5969957235509,47,Limited-Service Restaurants
Forcella Fried Pizza|40.690999|-73.983255,Forcella Fried Pizza,0.00016986475944091942,0.00019463841559741525,2.4773656156495825e-05,513.6249627539273,29,Full-Service Restaurants
Buffalo Boss|40.688436|-73.980216,Buffalo Boss,0.00036776431771463403,0.00039147845321830334,2.3714135503669304e-05,893.6374326936681,20,Limited-Service Restaurants
AVA Brew|40.692023|-73.984885,AVA Brew,0.00015052942205829258,0.00017411938273886976,2.3589960680577183e-05,335.2413810561619,25,Snack and Nonalcoholic Beverage Bars
Mara's Cafe & Bakery|40.691258|-73.990731,Mara's Cafe & Bakery,0.0004616139699578718,0.00048506835980958123,2.345438985170941e-05,367.2214329155413,36,Snack and Nonalcoholic Beverage Bars
Burger Village|40.688432|-73.983123,Burger Village,0.0003557431092080945,0.0003778689523307386,2.2125843122644084e-05,731.9538531375675,42,Limited-Service Restaurants
Buffalo Boss|40.692062|-73.987564,Buffalo Boss,0.00018241530824688974,0.00020412643286492826,2.1711124618038513e-05,203.51372213726665,30,Limited-Service Restaurants
College Pizza|40.693274|-73.985353,College Pizza,0.0002035039456733883,0.00022505148495203668,2.154753927864839e-05,235.7623953004814,30,Full-Service Restaurants
Nathan's Famous|40.684646|-73.976848,Nathan's Famous,0.0005063737154044211,0.0005273214192907001,2.0947703886279017e-05,1392.6869198049737,46,Limited-Service Restaurants
Downtown Natural Market|40.692444|-73.987024,Downtown Natural Market,0.00024307217214002963,0.00026351495583864983,2.0442783698620205e-05,178.9344404560077,42,Full-Service Restaurants
Baskin Robbins|40.684356|-73.978628,Baskin Robbins,0.00015959234911046345,0.00017881951093773777,1.9227161827274316e-05,1321.3238584907988,30,Snack and Nonalcoholic Beverage Bars
99 Cent Fresh Hot Pizza|40.692301|-73.986842,99 Cent Fresh Hot Pizza,0.000304466922797128,0.00032359901132270215,1.9132088525574125e-05,200.33186225388587,47,Full-Service Restaurants
